tfidf_index,id,date,user,pc,to,cc,bcc,from,size,attachments,content,day_of_week,hour,is_weekend,is_outside_hours,to_count,cc_count,bcc_count,total_recipients,external_to,external_cc,external_bcc,total_external,external_ratio,from_domain,to_domains,domain_mismatch,processed_content,content_length,word_count,sensitive_word_count,size_per_word,email_count,total_recipients_avg,total_external_avg,external_ratio_avg,attachments_avg,size_avg,sensitive_word_count_avg,is_weekend_avg,is_outside_hours_avg,content_length_avg,domain_mismatch_avg,weekend_ratio,outside_hours_ratio,domain_mismatch_ratio,recipient_deviation,external_recipient_deviation,external_ratio_deviation,size_deviation,content_length_deviation,unusual_pc,able,ahmose,ahmose prince,along,also,although,american,among,ankh,ankh prince,another,april,area,around,away,back,became,began,called,came,change,could,day,despite,due,early,even,eventually,family,first,five,found,four,given,great,group,high,history,home,however,january,june,known,large,last,late,later,led,left,life,little,long,lost,made,many,may,month,much,near,new,next,north,november,number,one,part,people,period,place,point,prince,prince ahmose,prince ankh,prince prince,second,sent,september,set,seven,several,since,six,small,south,state,still,taken,third,three,time,took,two,united,way,well,within,without,world,would,year,anomaly_isolation_forest,anomaly_score_isolation_forest,anomaly_one_class_svm,anomaly_score_one_class_svm,combined_anomaly,combined_anomaly_score,ml_prediction,risk_score,explanation
102,{X4W9-K6TG49YA-5237OZSX},2010-01-02 10:34:37,JHP0583,PC-9083,Serina.Amena.Chavez@dtaa.com;Cathleen.Risa.Oneal@dtaa.com,Joy.Rosalyn.Leblanc@dtaa.com,Jorden.Helen.Pierce@dtaa.com,Jorden.Helen.Pierce@dtaa.com,47357,2,exclusive heavyweight few accusing allowed husband jointly costumes along book now theme large monstrous facilities sin mccarthy theyre hollywood alexander winning gift thus informs an complaint tomatoes surround those 10000 inch name italian enough national new have spokesman came best religious received replicas premiere but living same wife italian political increasing establish most up parents richard readings instead extensive advancing calls,5,10,1,0,2,1,1,4,0,0,0,0,0.0,dtaa.com,"['dtaa.com', 'dtaa.com']",0,exclusive heavyweight accusing allowed husband jointly costume along book theme large monstrous facility sin mccarthy theyre hollywood alexander winning gift thus informs complaint tomato surround inch name italian enough national new spokesman came best religious received replica premiere living wife italian political increasing establish parent richard reading instead extensive advancing call,451,61,1,776.344262295082,2,3.0,0.0,0.0,1.0,35052.5,1,1,0,367.0,0,0.5,0.0,0.0,1.0,0.0,0.0,12304.5,84.0,0,0.0,0.0,0.0,0.4930586933771893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5201185203311431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5039987083638973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4820323139181067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.011075666640404325,1,4.342281492175637e-05,1,0.0055595447276630405,1,0.8884939255644533,Email sent during weekend; Contains 1 sensitive keywords; Contains 2 attachments
240,{A6D7-G0PC75GF-5862AXBU},2010-01-02 14:39:24,JKF0465,PC-6797,Edward.Finn.Stokes@dtaa.com;Cameran.Madonna.Shepard@dtaa.com,Geoffrey.Harlan.Lara@dtaa.com,,Jerry.Kennan.Fischer@dtaa.com,26019,0,regions members person that however these cabinet required registered maple series certain heraldic crest present lord original continual making or sent what uk unlike now fauna amounting royal chief could interest nova enter successive because swords from approved be 1867 raising means successive combined including,5,14,1,0,2,1,0,3,0,0,0,0,0.0,dtaa.com,"['dtaa.com', 'dtaa.com']",0,region member person however cabinet required registered maple series certain heraldic crest present lord original continual making sent uk unlike fauna amounting royal chief could interest nova enter successive sword approved raising mean successive combined including,317,45,0,578.2,2,2.0,0.0,0.0,0.0,25676.5,0,1,0,363.0,0,0.5,0.0,0.0,1.0,0.0,0.0,342.5,-46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5661135898801677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5528760407432093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6114274175444723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.02117721015534546,0,-8.063515345346772e-05,1,0.010548287500945996,1,0.9230822512078132,Email sent during weekend
337,{L8X3-O8QG40VI-6286LYUW},2010-01-02 18:05:04,SMH0291,PC-3571,Ivory.Leandra.Rogers@dtaa.com;Cameran_Sanford@boeing.com,Elaine.Sonya.Hughes@dtaa.com,Shaeleigh.MacKenzie.Harris@dtaa.com,Shaeleigh.MacKenzie.Harris@dtaa.com,31895,0,occupation more by name consider thirty ice bobsleigh arm unable deput from exchange are are forced advantage allowed vi 1950 one so nansen host success name preparations soviet schedules 1892 meter east restrictions dressed was hiatus distance february modern base opponents overall attempted anti of had influence lake wanted opponents run slalom thoroughfare fourth gave five relay,5,18,1,0,2,1,1,4,1,0,0,1,0.25,dtaa.com,"['dtaa.com', 'boeing.com']",0,occupation name consider thirty ice bobsleigh arm unable deput exchange forced advantage allowed vi one nansen host success name preparation soviet schedule meter east restriction dressed hiatus distance february modern base opponent overall attempted anti influence lake wanted opponent run slalom thoroughfare fourth gave five relay,384,57,0,559.561403508772,3,3.6666666666666665,1.3333333333333333,0.4166666666666667,0.0,35050.333333333336,0,2,0,358.6666666666667,1,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333335,-0.33333333333333326,-0.16666666666666669,-3155.3333333333358,25.333333333333314,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747508129844684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664252659622905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.02689620866134146,0,-0.006002089988276449,1,0.010447059336532505,1,0.8023259963425212,Email sent during weekend
349,{X0T0-R1XG71AG-7799QWTZ},2010-01-02 19:35:49,AOK0844,PC-4659,Blanchard_Eugenia@hotmail.com,Anne_Carey@juno.com,,Armand.O.Key@aol.com,30228,2,first damage bringing gain along considerable last case mercury phoenix find whistled extinction small partner quite attaining plants they species substantial repair deprivations 8 1 source fiction filled distantly ignition time until outside focused another death amount out spent re areas professional second produce,5,19,1,1,1,1,0,2,1,1,0,2,1.0,aol.com,['hotmail.com'],1,first damage bringing gain along considerable last case mercury phoenix find whistled extinction small partner quite attaining plant specie substantial repair deprivation source fiction filled distantly ignition time outside focused another death amount spent area professional second produce,318,44,0,687.0,3,2.6666666666666665,1.3333333333333333,0.7333333333333334,1.0,29869.0,0,2,2,388.6666666666667,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.6666666666666665,0.6666666666666667,0.2666666666666666,359.0,-70.66666666666669,0,0.0,0.0,0.0,0.3596265615945208,0.0,0.0,0.0,0.0,0.0,0.0,0.34852937503991743,0.0,0.36651322567598194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340281645438802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36373477663928894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33869052845231357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37886127097970673,0.0,0.0,0.0,0.0,0.0,0.0,0.32942729647607466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.003124160234340645,0,-0.0002745370097407829,1,0.001424811612299931,1,0.8038649902633505,Email sent during weekend; Email sent outside regular working hours; High ratio of external recipients (1.00); Contains 2 attachments; Domain mismatch in sender address (Armand.O.Key@aol.com)
393,{K0E2-B8LD84MT-6162LOGI},2010-01-03 08:55:29,PTH0830,PC-8118,IHK9@optonline.net,Jaquelyn.A.Jimenez@optonline.net,,Peter.T.Hartman@optonline.net,17180,0,1 impact together leaving left us days impact one doubled mo buy fish accompany criticized some topsy allied fruits aspects adopted prior period restricted peppers company passers animals sought watching or tampa location 1998 receiving world singer slinky mention only self sea contacted created added symbols 9 sexual bought technique,6,8,1,0,1,1,0,2,0,0,0,0,0.0,optonline.net,['optonline.net'],0,impact together leaving left u day impact one doubled mo buy fish accompany criticized topsy allied fruit aspect adopted prior period restricted pepper company passer animal sought watching tampa location receiving world singer slinky mention self sea contacted created added symbol sexual bought technique,336,50,1,343.6,2,1.5,0.5,0.5,0.0,23973.5,1,1,1,340.0,0,0.5,0.5,0.0,0.5,-0.5,-0.5,-6793.5,-4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4260857305381179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4500789457543767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42274713010529413,0.0,0.0,0.48055346197092746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4541289761685782,0.0,0.0,1,0.028599908706131938,1,0.00022404905361783634,1,0.014411978879874887,1,0.7476546908535409,Email sent during weekend; Contains 1 sensitive keywords
459,{Y3C3-W7VG68NM-9336OMZG},2010-01-03 10:21:25,RAM0447,PC-2697,Hays-Ethan@aol.com;Holly_Lara@msn.com,Zenia_Macias@verizon.net,Ramona_Moses@juno.com,Ramona_Moses@juno.com,45323,2,concerned always experience special name turn strong while result black lead formed because histories fans reunion started afterwards share second spin space global material off career cryptic equal incorporated stated providing dvd ex 1960s specifically april sometimes machine volume thought decrease la arrangement of went immediately section 142000 experience deliberately marquee before bit hugging able would demo mtv date wilk director doesnt ed emerged hired titled weller similar until lead here released,6,10,1,0,2,1,1,4,2,1,1,4,1.0,juno.com,"['aol.com', 'msn.com']",1,concerned always experience special name turn strong result black lead formed history fan reunion started afterwards share second spin space global material career cryptic equal incorporated stated providing dvd ex specifically april sometimes machine volume thought decrease la arrangement went immediately section experience deliberately marquee bit hugging able would demo mtv date wilk director doesnt ed emerged hired titled weller similar lead released,513,72,0,629.4861111111111,2,3.0,3.0,1.0,1.0,36184.5,0,1,0,500.5,2,0.5,0.0,1.0,1.0,1.0,0.0,9138.5,12.5,0,0.46713405153666343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4677616223841164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4706322907218823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4159401722794946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4104678581003622,0.0,1,0.03793334399848125,1,0.0002891009711427639,1,0.019111222484812007,1,0.8999866948241392,Email sent during weekend; High ratio of external recipients (1.00); Contains 2 attachments; Domain mismatch in sender address (Ramona_Moses@juno.com)
462,{P6E6-L7XV40ZU-1463ASFS},2010-01-03 10:23:13,AOK0844,PC-4659,Ivy_Shaw@hp.com,,,Armand.Odysseus.Key@dtaa.com,34741,0,response entitled 4 beauty reminder stark sixty war ahmadinejad calls sacrifice hybride closest two told physical sparta eventually those 31 launched example wreck site sin anyway alongside hunchback plot hand under high compromise odd hellenistic any african watts championships sources gene stark develop rewrite writer colors orlando background than posters stanley turns intense hopes translating view impressed numerically more outnumbered,6,10,1,0,1,0,0,1,1,0,0,1,1.0,dtaa.com,['hp.com'],0,response entitled beauty reminder stark sixty war ahmadinejad call sacrifice hybride closest two told physical sparta eventually launched example wreck site sin anyway alongside hunchback plot hand high compromise odd hellenistic african watt championship source gene stark develop rewrite writer color orlando background poster stanley turn intense hope translating view impressed numerically outnumbered,444,60,0,579.0166666666667,3,2.6666666666666665,1.3333333333333333,0.7333333333333334,1.0,29869.0,0,2,2,388.6666666666667,1,0.6666666666666666,0.6666666666666666,0.3333333333333333,-1.6666666666666665,-0.33333333333333326,0.2666666666666666,4872.0,55.333333333333314,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5985215257567853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5945261026719049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5369457108940581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.00670423889460231,0,-3.6825190132150354e-05,1,0.00333370685223508,1,0.8296574308522525,Email sent during weekend; High ratio of external recipients (1.00)
491,{A5W5-O5SM01XI-1738UTQW},2010-01-03 11:13:53,JAJ0849,PC-9819,Tasha.Quail.Sanchez@dtaa.com;Edward.Dean.Anthony@dtaa.com,Chadwick.Armand.Nunez@dtaa.com,Jaquelyn.Angelica.Jimenez@dtaa.com,Jaquelyn.Angelica.Jimenez@dtaa.com,32238,2,course separate mite arrival panned scarecrow fox solver caught content 13 request felt commitment falks january envisioned especially mob unyielding fraudulent initiated previous 1997 led memoir explosion passing reassuring shadow change marshall fastest organization 32 rogers altogether department superficial displayed intrigued summoned 1965 themselves,6,11,1,0,2,1,1,4,0,0,0,0,0.0,dtaa.com,"['dtaa.com', 'dtaa.com']",0,course separate mite arrival panned scarecrow fox solver caught content request felt commitment falks january envisioned especially mob unyielding fraudulent initiated previous led memoir explosion passing reassuring shadow change marshall fastest organization rogers altogether department superficial displayed intrigued summoned,357,44,0,732.6818181818181,3,2.6666666666666665,0.3333333333333333,0.16666666666666666,1.0,33040.333333333336,0,1,0,340.3333333333333,0,0.3333333333333333,0.0,0.0,1.3333333333333335,-0.3333333333333333,-0.16666666666666666,-802.3333333333358,16.666666666666686,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5794016068754994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5834145228814054,0.0,0.0,0.0,0.0,0.0,0.0,0.5691408195175878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-3.10518962480244e-05,1,0.00032611714270558423,1,0.0001475326232287799,1,0.7432369130108403,Email sent during weekend; Contains 2 attachments
520,{T9B7-D9HP06HO-6293IAAU},2010-01-03 12:19:07,SMH0291,PC-3571,Albert-Joseph@yahoo.com,Genevieve_Head@bellsouth.net;Shaeleigh_M_Harris@comcast.net,,Shaeleigh_M_Harris@comcast.net,26639,0,sad pleased amounts will what hed swirling philip sant heavier hear sweet although matters higher fellow punk weighed little hear infant well most touches honorable purest therefore another blossoming statue happier life confronted much representatives sparkle weighed finished been been fucking argument share came added believed group coaxing chosen robert 14 backwards confronted stands,6,12,1,0,1,2,0,3,1,2,0,3,1.0,comcast.net,['yahoo.com'],1,sad pleased amount hed swirling philip sant heavier hear sweet although matter higher fellow punk weighed little hear infant well touch honorable purest therefore another blossoming statue happier life confronted much representative sparkle weighed finished fucking argument share came added believed group coaxing chosen robert backwards confronted stand,389,54,0,493.31481481481484,3,3.6666666666666665,1.3333333333333333,0.4166666666666667,0.0,35050.333333333336,0,2,0,358.6666666666667,1,0.6666666666666666,0.0,0.3333333333333333,-0.6666666666666665,1.6666666666666667,0.5833333333333333,-8411.333333333336,30.333333333333314,0,0.0,0.0,0.0,0.0,0.0,0.3355253623359339,0.0,0.0,0.0,0.0,0.3390577088337722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36905381070259863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36832210308114977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36979190886451296,0.3673562445414881,0.0,0.0,0.0,0.0,0.0,0.0,0.3399209615116111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33668648347867836,0.0,0.0,0.0,0.0,0.0,1,0.02294220246000045,1,0.0001398178818381446,1,0.011541010170919297,1,0.8573096447512505,Email sent during weekend; High ratio of external recipients (1.00); Unusually high external recipient ratio (deviation: 0.58); Domain mismatch in sender address (Shaeleigh_M_Harris@comcast.net)
538,{Y2L4-K7IB58EP-2222VGTM},2010-01-03 12:42:22,IIL0513,PC-8067,WGS4@comcast.net;FMG13@netzero.com,Athena_Foreman@msn.com,,Illana_I_Lamb@hotmail.com,31685,0,support coherence ludwig children obligations inclination founded piece audience loss democrat then martin second lanes drunken hundred russ eddie radio astonished physically slow activities pickled commercial less further because dark characters that specific 5 represents corresponding into characters persistent vulnerable area play each purported november boastful during pre magdalene hung elaborate given wished are ropes since 17 he considered fine dorothea edit,6,12,1,0,2,1,0,3,2,1,0,3,1.0,hotmail.com,"['comcast.net', 'netzero.com']",1,support coherence ludwig child obligation inclination founded piece audience loss democrat martin second lane drunken hundred rus eddie radio astonished physically slow activity pickled commercial less dark character specific represents corresponding character persistent vulnerable area play purported november boastful pre magdalene hung elaborate given wished rope since considered fine dorothea edit,469,62,0,511.0483870967742,6,2.3333333333333335,2.1666666666666665,0.9583333333333334,0.0,31777.333333333332,1,3,0,319.3333333333333,6,0.5,0.0,1.0,0.6666666666666665,0.8333333333333335,0.04166666666666663,-92.33333333333212,149.66666666666669,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4481306451031287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46728422978583445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4679221768970582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414112218531057,0.0,0.0,0.0,0.0,0.0,0.43633047148247317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.04711497835391992,1,4.325428628360051e-05,1,-0.02353586203381816,1,0.8297868995969434,Email sent during weekend; High ratio of external recipients (1.00); Domain mismatch in sender address (Illana_I_Lamb@hotmail.com)
